AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
Interpolated thickness: 0.24
   1  Number of airfoil tables in this file
     9990  Reynolds number in millions.  For efficiency, make very large if only one table.
  10.8313  Stall angle (deg)
        0  No longer used, enter zero
        0  No longer used, enter zero
        0  No longer used, enter zero
 -3.53635  Zero lift angle of attack (deg)
   6.5032  Cn slope for zero lift (dimensionless)
  1.63076  Cn at stall value for positive angle of attack
     -0.8  Cn at stall value for negative angle of attack
    -2.12  Angle of attack for minimum CD (deg)
   0.0105  Minimum CD value
-180.00    0.000  0.1109 -0.0000
-170.00    0.394  0.1520  0.4000
-160.00    0.789  0.2699 -0.1432
-150.00    0.709  0.4501 -0.0630
-140.00    0.658  0.6700 -0.0071
-130.00    0.589  0.9023  0.0470
-120.00    0.483  1.1175  0.1007
-110.00    0.342  1.2883  0.1505
-100.00    0.175  1.3926  0.1913
 -90.00    0.000  1.4160  0.2181
 -80.00   -0.175  1.3926  0.2379
 -70.00   -0.342  1.2883  0.2415
 -60.00   -0.483  1.1175  0.2322
 -50.00   -0.589  0.9023  0.2160
 -40.00   -0.658  0.6700  0.2028
 -30.00   -0.709  0.4501  0.2107
 -20.00   -0.787  0.2697  0.2875
 -10.00   -0.322  0.1060  0.1271
  -4.17   -0.072  0.0107 -0.1346
  -3.17    0.042  0.0106 -0.1366
  -2.12    0.160  0.0105 -0.1382
  -1.08    0.279  0.0105 -0.1400
  -0.05    0.397  0.0106 -0.1410
  -0.05    0.397  0.0106 -0.1410
   1.17    0.537  0.0108 -0.1423
   2.35    0.668  0.0110 -0.1434
   3.52    0.800  0.0113 -0.1441
   4.70    0.927  0.0116 -0.1439
   5.87    1.051  0.0120 -0.1431
   7.05    1.168  0.0126 -0.1409
   8.22    1.264  0.0133 -0.1350
  10.83    1.308  0.0260 -0.1049
  13.44    1.145  0.1145 -0.0969
  16.05    1.105  0.1693 -0.1054
  18.66    1.130  0.2238 -0.1186
  21.28    1.124  0.2924 -0.1402
  23.89    1.091  0.3396 -0.1675
  26.50    1.057  0.3868 -0.1949
  29.11    1.023  0.4340 -0.2223
  31.72    1.000  0.4879 -0.2424
  34.33    0.981  0.5454 -0.2588
  36.94    0.962  0.6028 -0.2752
  39.56    0.943  0.6602 -0.2916
  42.17    0.919  0.7203 -0.3057
  44.78    0.893  0.7810 -0.3192
  47.39    0.867  0.8416 -0.3328
  50.00    0.841  0.9023 -0.3464
  60.00    0.690  1.1175 -0.3927
  70.00    0.488  1.2883 -0.4330
  80.00    0.250  1.3926 -0.4661
  90.00    0.000  1.4160 -0.4899
 100.00   -0.175  1.3926 -0.5096
 110.00   -0.342  1.2883 -0.5133
 120.00   -0.483  1.1175 -0.5039
 130.00   -0.589  0.9023 -0.4878
 140.00   -0.658  0.6700 -0.4745
 150.00   -0.709  0.4501 -0.4824
 160.00   -0.789  0.2699 -0.5600
 170.00   -0.394  0.1520 -0.5000
 180.00    0.000  0.1109 -0.0000
