**Region Name**,**Region Description**
``"HP_TE_FLAT"``,High pressure trailing edge flatback
``"HP_TE_REINF"``,High pressure trailing edge reinforcement
``"HP_TE_PANEL"``,High pressure trailing edge panel
``"HP_SPAR"``,High pressure spar cap
``"HP_LE_PANEL"``,High pressure leading edge panel
``"HP_LE"``,High pressure leading edge
``"LP_LE"``,Low pressure leading edge
``"LP_LE_PANEL"``,Low pressure leading edge panel
``"LP_SPAR"``,Low pressure spar cap
``"LP_TE_PANEL"``,Low pressure trailing edge panel
``"LP_TE_REINF"``,Low pressure trailing edge reinforcement
``"LP_TE_FLAT"``,Low pressure trailing edge flatback
``"WEBS"``,All webs
