**Capability**,**Blade Object**,**Utilities**,**NuMAD GUI**
Optimization,No,Yes,No
ANSYS,No,Yes,Yes
FAST,No,Yes,No
Bmodes,Yes,Yes,Yes
PreComp,Yes,Yes,Yes
Excel (xls) input,Yes,No,Yes
Yaml input,Yes,No,No
GUI input,No,No,Yes
IECWind,No,Yes,No
TurbSim,No,Yes,No
Crunch,No,Yes,No
BPE,No,No,Yes
Blast,No,No,Yes
