AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
Interpolated thickness: 0.191
   1  Number of airfoil tables in this file
     9990  Reynolds number in millions.  For efficiency, make very large if only one table.
  14.2352  Stall angle (deg)
        0  No longer used, enter zero
        0  No longer used, enter zero
        0  No longer used, enter zero
 -4.92199  Zero lift angle of attack (deg)
  6.23214  Cn slope for zero lift (dimensionless)
  2.08376  Cn at stall value for positive angle of attack
     -0.8  Cn at stall value for negative angle of attack
    -4.09  Angle of attack for minimum CD (deg)
 0.0078276  Minimum CD value
-180.00    0.000  0.1670  0.0000
-170.00    0.399  0.2072  0.4000
-160.00    0.799  0.3225 -0.1393
-150.00    0.710  0.4986 -0.0622
-140.00    0.659  0.7129 -0.0070
-130.00    0.590  0.9383  0.0465
-120.00    0.484  1.1455  0.0989
-110.00    0.342  1.3075  0.1463
-100.00    0.175  1.4023  0.1840
 -90.00    0.000  1.4160  0.2069
 -80.00   -0.175  1.4023  0.2276
 -70.00   -0.342  1.3075  0.2323
 -60.00   -0.484  1.1455  0.2238
 -50.00   -0.590  0.9383  0.2080
 -40.00   -0.659  0.7129  0.1944
 -30.00   -0.710  0.4986  0.2004
 -20.00   -0.797  0.3223  0.2750
 -10.00   -0.281  0.1051  0.0743
  -6.04   -0.097  0.0192 -0.1173
  -5.04    0.003  0.0122 -0.1381
  -4.09    0.091  0.0078 -0.1515
  -3.02    0.208  0.0079 -0.1530
  -2.02    0.316  0.0079 -0.1539
  -1.03    0.424  0.0080 -0.1546
  -0.01    0.533  0.0081 -0.1556
   0.88    0.632  0.0084 -0.1557
   1.76    0.728  0.0086 -0.1562
   2.65    0.823  0.0090 -0.1569
   3.53    0.915  0.0093 -0.1562
   4.41    1.006  0.0097 -0.1552
   5.29    1.088  0.0101 -0.1530
   7.53    1.228  0.0153 -0.1389
   9.76    1.299  0.0346 -0.1259
  12.00    1.384  0.0576 -0.1194
  14.24    1.410  0.0936 -0.1142
  16.47    1.279  0.2055 -0.1277
  18.71    1.213  0.2764 -0.1382
  20.94    1.134  0.3392 -0.1681
  23.18    1.105  0.3786 -0.1903
  25.41    1.075  0.4180 -0.2125
  27.65    1.046  0.4574 -0.2348
  29.88    1.019  0.4982 -0.2555
  32.12    0.999  0.5443 -0.2708
  34.35    0.983  0.5921 -0.2844
  36.59    0.967  0.6400 -0.2980
  38.82    0.951  0.6879 -0.3116
  41.06    0.931  0.7369 -0.3241
  43.29    0.909  0.7873 -0.3355
  45.53    0.887  0.8376 -0.3468
  47.76    0.864  0.8880 -0.3581
  50.00    0.842  0.9383 -0.3694
  60.00    0.691  1.1455 -0.4137
  70.00    0.489  1.3075 -0.4514
  80.00    0.250  1.4023 -0.4812
  90.00    0.000  1.4160 -0.5011
 100.00   -0.175  1.4023 -0.5218
 110.00   -0.342  1.3075 -0.5265
 120.00   -0.484  1.1455 -0.5180
 130.00   -0.590  0.9383 -0.5022
 140.00   -0.659  0.7129 -0.4886
 150.00   -0.710  0.4986 -0.4946
 160.00   -0.799  0.3225 -0.5696
 170.00   -0.399  0.2072 -0.5000
 180.00    0.000  0.1670  0.0000
