AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
Interpolated thickness: 0.185
   1  Number of airfoil tables in this file
     9990  Reynolds number in millions.  For efficiency, make very large if only one table.
  13.9486  Stall angle (deg)
        0  No longer used, enter zero
        0  No longer used, enter zero
        0  No longer used, enter zero
 -5.10303  Zero lift angle of attack (deg)
   6.1924  Cn slope for zero lift (dimensionless)
  2.05906  Cn at stall value for positive angle of attack
     -0.8  Cn at stall value for negative angle of attack
    -4.09  Angle of attack for minimum CD (deg)
 0.00747686  Minimum CD value
-180.00    0.000  0.1738  0.0000
-170.00    0.400  0.2139  0.4000
-160.00    0.800  0.3290 -0.1388
-150.00    0.711  0.5046 -0.0621
-140.00    0.660  0.7182 -0.0069
-130.00    0.590  0.9427  0.0464
-120.00    0.484  1.1489  0.0987
-110.00    0.342  1.3098  0.1458
-100.00    0.175  1.4035  0.1830
 -90.00    0.000  1.4160  0.2055
 -80.00   -0.175  1.4035  0.2264
 -70.00   -0.342  1.3098  0.2311
 -60.00   -0.484  1.1489  0.2228
 -50.00   -0.590  0.9427  0.2070
 -40.00   -0.660  0.7182  0.1934
 -30.00   -0.711  0.5046  0.1991
 -20.00   -0.799  0.3287  0.2734
 -10.00   -0.276  0.1050  0.0679
  -6.04   -0.090  0.0165 -0.1254
  -5.04    0.017  0.0107 -0.1433
  -4.09    0.110  0.0075 -0.1536
  -3.02    0.226  0.0075 -0.1550
  -2.02    0.334  0.0076 -0.1558
  -1.03    0.441  0.0077 -0.1564
  -0.01    0.549  0.0078 -0.1574
   0.82    0.641  0.0081 -0.1573
   1.65    0.730  0.0083 -0.1577
   2.47    0.818  0.0087 -0.1584
   3.29    0.904  0.0090 -0.1578
   4.11    0.988  0.0094 -0.1569
   4.94    1.067  0.0098 -0.1552
   7.19    1.219  0.0145 -0.1424
   9.44    1.314  0.0296 -0.1298
  11.70    1.416  0.0479 -0.1219
  13.95    1.448  0.0821 -0.1151
  16.20    1.297  0.2033 -0.1288
  18.45    1.223  0.2756 -0.1386
  20.71    1.138  0.3415 -0.1695
  22.96    1.108  0.3811 -0.1918
  25.21    1.078  0.4207 -0.2140
  27.47    1.049  0.4603 -0.2363
  29.72    1.020  0.5009 -0.2575
  31.97    1.001  0.5470 -0.2731
  34.23    0.984  0.5950 -0.2868
  36.48    0.968  0.6432 -0.3004
  38.73    0.952  0.6913 -0.3141
  40.99    0.932  0.7405 -0.3267
  43.24    0.910  0.7910 -0.3381
  45.49    0.887  0.8416 -0.3495
  47.75    0.864  0.8921 -0.3608
  50.00    0.842  0.9427 -0.3722
  60.00    0.691  1.1489 -0.4163
  70.00    0.489  1.3098 -0.4537
  80.00    0.250  1.4035 -0.4830
  90.00    0.000  1.4160 -0.5025
 100.00   -0.175  1.4035 -0.5233
 110.00   -0.342  1.3098 -0.5281
 120.00   -0.484  1.1489 -0.5197
 130.00   -0.590  0.9427 -0.5040
 140.00   -0.660  0.7182 -0.4903
 150.00   -0.711  0.5046 -0.4961
 160.00   -0.800  0.3290 -0.5708
 170.00   -0.400  0.2139 -0.5000
 180.00    0.000  0.1738  0.0000
